country;city;coordinates;start_date;end_date;notes
Ecuador;Quito;0.2233° S, 78.5141° W;2016-12-16;2016-12-20;
Colombia;Ipiales;0.8300° N, 77.6416° W;2016-12-20;2016-12-22;
Ecuador;Cuenca;2.9001° S, 79.0059° W;2016-12-22;2016-12-27;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-12-27;2016-12-29;
Canada;Toronto;43.6548° N, 79.3884° W;2016-12-29;2017-01-02;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-01-02;2017-01-13;
United States;Stanford;37.4277° N, 122.1701° W;2017-01-13;2017-01-14;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-01-14;2017-03-04;
United States;Boston;42.3555° N, 71.0565° W;2017-03-04;2017-03-06;
United States;Providence;41.8245° N, 71.4127° W;2017-03-06;2017-03-07;
United States;Boston;42.3555° N, 71.0565° W;2017-03-07;2017-03-11;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-03-11;2017-05-01;
Canada;Montreal;45.5019° N, 73.5674° W;2017-05-01;2017-05-06;
Mexico;Mexico City;19.4326° N, 99.1332° W;2017-05-06;2017-05-07;
Mexico;Teotihuacan;19.6861° N, 98.8716° W;2017-05-07;2017-05-07;
Mexico;Mexico City;19.4326° N, 99.1332° W;2017-05-07;2017-05-10;
Peru;Lima;12.0467° S, 77.0431° W;2017-05-10;2017-05-14;
Peru;Cusco;13.5320° S, 71.9675° W;2017-05-14;2017-05-17;
Peru;Aguas Calientes / Machu Picchu;13.1547° S, 72.5254° W;2017-05-17;2017-05-19;
Chile;Santiago;33.4489° S, 70.6693° W;2017-05-19;2017-05-21;
Chile;Valparaíso;33.0473° S, 71.6127° W;2017-05-21;2017-05-24;
Chile;Santiago;33.4489° S, 70.6693° W;2017-05-24;2017-05-28;
United States;Los Angeles;34.0549° N, 118.2426° W;2017-05-28;2017-05-31;
Japan;Tokyo;35.6764° N, 139.6500° E;2017-05-31;2017-06-05;
Japan;Osaka / Kobe / Nishinomiya;34.7376° N, 135.3415° E;2017-06-05;2017-06-10;
Japan;Kyoto;35.0116° N, 135.7681° E;2017-06-10;2017-06-10;
Japan;Osaka / Kobe / Nishinomiya;34.7376° N, 135.3415° E;2017-06-10;2017-06-24;
Japan;Himeji;34.8154° N, 134.6856° E;2017-06-24;2017-06-24;
Japan;Osaka / Kobe / Nishinomiya;34.7376° N, 135.3415° E;2017-06-24;2017-06-30;
Japan;Hiroshima;34.3853° N, 132.4553° E;2017-06-30;2017-07-02;
Japan;Osaka / Kobe / Nishinomiya;34.7376° N, 135.3415° E;2017-07-02;2017-07-12;
Japan;Kyoto;35.0116° N, 135.7681° E;2017-07-12;2017-07-16;
China;Wuxi;31.4910° N, 120.3124° E;2017-07-16;2017-07-24;
China;Nanjing;32.0584° N, 118.7965° E;2017-07-24;2017-08-14;
Canada;Vancouver;49.2827° N, 123.1207° W;2017-08-14;2017-08-20;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-08-20;2017-10-06;
United States;Chicago;41.8832° N, 87.6324° W;2017-10-06;2017-10-08;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-10-08;2017-11-24;
United States;Annapolis;38.9764° N, 76.4896° W;2017-11-24;2017-11-25;
United States;Washington D.C.;38.9073° N, 77.0369° W;2017-11-25;2017-11-25;
United States;Annapolis;38.9764° N, 76.4896° W;2017-11-25;2017-11-26;
United States;Pittsburgh;40.4387° N, 79.9972° W;2017-11-25;2017-12-15;
Canada;Toronto;43.6548° N, 79.3884° W;2017-12-15;2017-12-18;
Canada;Victoria;48.4284° N, 123.3656° W;2017-12-18;2017-12-22;
United States;Seattle;47.6061° N, 122.3328° W;2017-12-22;2017-12-26;
Canada;Calgary;51.0447° N, 114.0719° W;2017-12-26;2017-12-28;
Canada;Banff National Park;51.4968° N, 115.9281° W;2017-12-28;2017-12-30;
Canada;Calgary;51.0447° N, 114.0719° W;2017-12-30;2018-01-03;
Canada;Toronto;43.6548° N, 79.3884° W;2018-01-03;2018-01-07;
United States;Pittsburgh;40.4387° N, 79.9972° W;2018-01-07;2018-03-04;
United States;Outer Banks;36.2781° N, 75.7942° W;2018-03-04;2018-03-08;
United States;Pittsburgh;40.4387° N, 79.9972° W;2018-03-08;2018-05-03;
United States;Las Vegas;36.1716° N, 115.1391° W;2018-05-03;2018-05-04;
United States;Grand Canyon National Park;36.2679° N, 112.3535° W;2018-05-04;2018-05-06;
United States;Las Vegas;36.1716° N, 115.1391° W;2018-05-06;2018-05-08;
United States;Death Valley National Park;36.5054° N, 117.0794° W;2018-05-08;2018-05-09;
United States;Pittsburgh;40.4387° N, 79.9972° W;2018-05-09;2018-07-22;
United States;Fallingwater;39.9061° N, 79.4668° W;2018-07-22;2018-07-22;
United States;Pittsburgh;40.4387° N, 79.9972° W;2018-07-22;2018-09-21;
United Kingdom;London;51.5072° N, 0.1276° W;2018-09-21;2018-12-17;
United Kingdom;York;53.9614° N, 1.0739° W;2018-12-17;2018-12-19;
United Kingdom;Edinburgh;55.9533° N, 3.1883° W;2018-12-19;2018-12-23;
United Kingdom;Glasgow;55.8617° N, 4.2583° W;2018-12-23;2018-12-26;
United Kingdom;London;51.5072° N, 0.1276° W;2018-12-26;2019-05-30;
United Kingdom;Eastbourne / Seven Sisters;50.7680° N, 0.2905° E;2019-05-30;2019-05-30;
United Kingdom;London;51.5072° N, 0.1276° W;2019-05-30;2019-07-04;
United Kingdom;Liverpool;53.4084° N, 2.9916° W;2019-07-04;2019-07-05;
United Kingdom;Chester;53.1934° N, 2.8931° W;2019-07-05;2019-07-06;
United Kingdom;Manchester;53.4808° N, 2.2426° W;2019-07-06;2019-07-07;
United Kingdom;London;51.5072° N, 0.1276° W;2019-07-07;2019-07-08;
Tunisia;Tunis;36.8065° N, 10.1815° E;2019-07-08;2019-07-12;
United Kingdom;London;51.5072° N, 0.1276° W;2019-07-12;2019-07-21;
United Kingdom;Manchester;53.4808° N, 2.2426° W;2019-07-21;2019-07-22;
United Kingdom;London;51.5072° N, 0.1276° W;2019-07-22;2019-08-05;
Russian Federation;Ryazan;54.6095° N, 39.7126° E;2019-08-05;2019-08-15;
Russian Federation;Nizhny Novgorod;56.3269° N, 44.0059° E;2019-08-15;2019-08-20;
Russian Federation;Yekaterinburg;56.8431° N, 60.6454° E;2019-08-20;2019-08-24;
Russian Federation;Moscow;55.7569° N, 37.6151° E;2019-08-24;2019-09-01;
United Kingdom;London;51.5072° N, 0.1276° W;2019-09-01;2019-09-27;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2019-09-27;2019-11-14;
Russian Federation;Saint Petersburg;59.9311° N, 30.3609° E;2019-11-14;2019-11-16;
Russian Federation;Gatchina;59.5771° N, 30.1330° E;2019-11-16;2019-11-16;
Russian Federation;Saint Petersburg;59.9311° N, 30.3609° E;2019-11-16;2019-11-17;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2019-11-17;2019-12-16;
China;Shanghai;31.2304° N, 121.4737° E;2019-12-16;2019-12-17;
China;Nanjing;32.0584° N, 118.7965° E;2019-12-17;2020-01-01;
Türkiye;Istanbul;41.0082° N, 28.9784° E;2020-01-01;2020-01-01;
Italy;Venice;45.4404° N, 12.3160° E;2020-01-01;2020-01-02;
Italy;Bologna;44.4949° N, 11.3426° E;2020-01-02;2020-01-04;
Italy;Florence;43.7700° N, 11.2577° E;2020-01-04;2020-01-07;
Italy;Rome;41.8967° N, 12.4822° E;2020-01-07;2020-01-08;
Vatican City State (Holy See);Vatican City;41.9029° N, 12.4534° E;2020-01-08;2020-01-08;
Italy;Rome;41.8967° N, 12.4822° E;2020-01-08;2020-01-11;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-01-11;2020-01-21;
United Kingdom;Bath;51.3781° N, 2.3597° W;2020-01-21;2020-01-21;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-01-21;2020-02-20;
Belarus;Minsk;53.9006° N, 27.5590° E;2020-02-20;2020-02-22;
Belarus;Nesvizh;53.2226° N, 26.6925° E;2020-02-22;2020-02-22;
Belarus;Mir;53.4532° N, 26.4652° E;2020-02-22;2020-02-22;
